Product Name,Printing,Condition,Rarity,Number,Market Price,source,scrape_date
Abra ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,063/165,$0.14,sv-scarlet-and-violet-151,2024-10-29
Aerodactyl ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Rare,142/165,$0.49,sv-scarlet-and-violet-151,2024-10-29
Alakazam ex - 065/165 ,Holofoil,"Condition:
Near Mint",Double Rare,065/165,$1.19,sv-scarlet-and-violet-151,2024-10-29
Alakazam ex - 188/165 ,Holofoil,"Condition:
Near Mint",Ultra Rare,188/165,$10.58,sv-scarlet-and-violet-151,2024-10-29
Alakazam ex - 201/165 ,Holofoil,"Condition:
Near Mint",Special Illustration Rare,201/165,$37.47,sv-scarlet-and-violet-151,2024-10-29
Antique Dome Fossil ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,152/165,$0.68,sv-scarlet-and-violet-151,2024-10-29
Antique Helix Fossil ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,153/165,$0.71,sv-scarlet-and-violet-151,2024-10-29
Antique Old Amber ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,154/165,$0.66,sv-scarlet-and-violet-151,2024-10-29
Arbok ex - 024/165 ,Holofoil,"Condition:
Near Mint",Double Rare,024/165,$1.25,sv-scarlet-and-violet-151,2024-10-29
Arbok ex - 185/165 ,Holofoil,"Condition:
Near Mint",Ultra Rare,185/165,$9.62,sv-scarlet-and-violet-151,2024-10-29
Arcanine ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,059/165,$0.15,sv-scarlet-and-violet-151,2024-10-29
Articuno ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Rare,144/165,$0.58,sv-scarlet-and-violet-151,2024-10-29
Basic Psychic Energy - 207/165 ,Holofoil,"Condition:
Near Mint",Hyper Rare,207/165,$4.91,sv-scarlet-and-violet-151,2024-10-29
Beedrill ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Rare,015/165,$0.60,sv-scarlet-and-violet-151,2024-10-29
Bellsprout ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,069/165,$0.14,sv-scarlet-and-violet-151,2024-10-29
Big Air Balloon ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,155/165,$0.64,sv-scarlet-and-violet-151,2024-10-29
Bill's Transfer - 156/165 ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,156/165,$0.40,sv-scarlet-and-violet-151,2024-10-29
Bill's Transfer - 194/165 ,Holofoil,"Condition:
Near Mint",Ultra Rare,194/165,$4.19,sv-scarlet-and-violet-151,2024-10-29
Blastoise ex - 009/165 ,Holofoil,"Condition:
Near Mint",Double Rare,009/165,$2.74,sv-scarlet-and-violet-151,2024-10-29
Blastoise ex - 184/165 ,Holofoil,"Condition:
Near Mint",Ultra Rare,184/165,$17.49,sv-scarlet-and-violet-151,2024-10-29
Blastoise ex - 200/165 ,Holofoil,"Condition:
Near Mint",Special Illustration Rare,200/165,$73.74,sv-scarlet-and-violet-151,2024-10-29
Bulbasaur - 001/165 ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,001/165,$0.18,sv-scarlet-and-violet-151,2024-10-29
Bulbasaur - 166/165 ,Holofoil,"Condition:
Near Mint",Illustration Rare,166/165,$36.61,sv-scarlet-and-violet-151,2024-10-29
